year,co2_avg,year,diff_temp,arctic_ice_area
1958,315.232,1958,0.06,
1959,315.9808333,1959,0.03,
1960,316.91,1960,-0.02,
1961,317.6441667,1961,0.06,
1962,318.4541667,1962,0.03,
1963,318.9925,1963,0.05,
1964,319.6166667,1964,-0.2,
1965,320.0358333,1965,-0.11,
1966,321.3691667,1966,-0.06,
1967,322.1808333,1967,-0.02,
1968,323.05,1968,-0.08,
1969,324.6233333,1969,0.05,
1970,325.6816667,1970,0.03,
1971,326.3191667,1971,-0.08,
1972,327.4566667,1972,0.01,
1973,329.6775,1973,0.16,
1974,330.1841667,1974,-0.07,
1975,331.1183333,1975,-0.01,
1976,332.0391667,1976,-0.1,
1977,333.8316667,1977,0.18,
1978,335.4033333,1978,0.07,
1979,336.8408333,1979,0.16,4.58
1980,338.7508333,1980,0.26,4.87
1981,340.1058333,1981,0.32,4.44
1982,341.4475,1982,0.14,4.43
1983,343.0541667,1983,0.31,4.7
1984,344.66,1984,0.16,4.11
1985,346.1158333,1985,0.12,4.23
1986,347.4325,1986,0.18,4.72
1987,349.1816667,1987,0.32,5.64
1988,351.5691667,1988,0.39,5.36
1989,353.1225,1989,0.27,4.86
1990,354.3933333,1990,0.45,4.55
1991,355.6116667,1991,0.4,4.51
1992,356.445,1992,0.22,5.43
1993,357.1,1993,0.23,4.58
1994,358.8333333,1994,0.31,5.13
1995,360.82,1995,0.44,4.43
1996,362.6075,1996,0.33,5.62
1997,363.7291667,1997,0.46,4.89
1998,366.7,1998,0.61,4.3
1999,368.3816667,1999,0.38,4.29
2000,369.55,2000,0.39,4.35
2001,371.1441667,2001,0.54,4.59
2002,373.2791667,2002,0.62,4.03
2003,375.8025,2003,0.62,4.05
2004,377.5225,2004,0.53,4.39
2005,379.7958333,2005,0.68,4.07
2006,381.8991667,2006,0.64,4.01
2007,383.7916667,2007,0.66,2.82
2008,385.595,2008,0.54,3.26
2009,387.43,2009,0.66,3.76
2010,389.8991667,2010,0.72,3.34
2011,391.6516667,2011,0.61,3.21
2012,393.855,2012,0.64,2.41
2013,396.52,2013,0.68,3.78
2014,398.6425,2014,0.75,3.74
2015,400.8258333,2015,0.9,3.42
2016,404.2225,2016,1.01,2.91
2017,406.555,2017,0.92,3.35
2018,408.52,2018,0.85,3.35
2019,411.4341667,2019,0.98,3.17